Company,ClipboardEvent,Event,FocusEvent,InputEvent,KeyboardEvent,MouseEvent,PointerEvent,TextEvent,Touch,TouchEvent,TouchList,WheelEvent
Accertify,1.0,1.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
BehavioSec,1.0,1.0,3.0,0.0,13.0,12.0,10.0,0.0,0.0,0.0,0.0,4.0
BioCatch,3.0,3.0,4.0,5.0,13.0,17.0,18.0,0.0,10.0,5.0,1.0,14.0
Darwinium,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,8.0,7.0,1.0,0.0
Iovation,0.0,8.0,0.0,0.0,8.0,9.0,8.0,0.0,1.0,8.0,1.0,7.0
Neuro-id,2.0,2.0,2.0,2.0,13.0,8.0,8.0,0.0,11.0,3.0,0.0,4.0
Nudata,0.0,0.0,2.0,0.0,5.0,5.0,4.0,0.0,2.0,3.0,0.0,0.0
Sardine,1.0,2.0,2.0,2.0,7.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0
ThreatMark,2.0,2.0,1.0,2.0,14.0,12.0,22.0,0.0,0.0,0.0,0.0,16.0
Transmit Security,5.0,3.0,1.0,6.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0
pingOne,3.0,2.0,4.0,0.0,6.0,12.0,11.0,2.0,11.0,3.0,2.0,9.0
